SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,URL,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
"In accordance with local MLS rules, some MLS listings are not included in the download",,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,37 & 39 Whistle Ln,Shenandoah,VA,22849,995000,5,4,Shenandoah,2240,93654,2023,1,444,,Active,,,https://www.redfin.com/VA/Shenandoah/37-Whistle-Ln-22849/home/201027495,HRAR,675022,N,Y,38.5306964,-78.5787099
MLS Listing,,Single Family Residential,188 New Market Reservoir Rd,New Market,VA,22844,465000,3,2,SUNDANCE MOUNTAIN,1712,431244,1976,1,272,32,Active,,,https://www.redfin.com/VA/New-Market/188-New-Market-Reservoir-Rd-22844/home/50270454,HRAR,675020,N,Y,38.6207506,-78.6606392
MLS Listing,,Single Family Residential,487 Pocahontas Ave,Shenandoah,VA,22849,329900,3,2,Shenandoah,1282,22215,2026,1,257,,Active,,,https://www.redfin.com/VA/Shenandoah/487-Pocahontas-Ave-22849/home/201024227,HRAR,675015,N,Y,38.4904594,-78.6082272
MLS Listing,,Single Family Residential,154 W Wanda St,Stanley,VA,22851,439900,4,3.5,DEERFIELD ESTATES,2304,13503,2006,1,191,2,Active,,,https://www.redfin.com/VA/Stanley/154-W-Wanda-St-22851/home/22040342,BRIGHT MLS,VAPA2006214,N,Y,38.5769323,-78.5297549
MLS Listing,,Single Family Residential,160 Honeysuckle Ln,Stanley,VA,22851,239900,3,1,Stanley,1104,60548,1949,1,217,,Active,,,https://www.redfin.com/VA/Stanley/160-Honeysuckle-Ln-22851/home/75065176,BRIGHT MLS,VAPA2006232,N,Y,38.5675029,-78.5073814
MLS Listing,,Single Family Residential,1835 Mill Creek Xrds,Luray,VA,22835,619000,3,2,Luray,2490,225205,2022,1,249,,Active,,,https://www.redfin.com/VA/Luray/1835-Mill-Creek-Crossroads-22835/home/162594759,BRIGHT MLS,VAPA2006144,N,Y,38.614964,-78.505164
MLS Listing,,Single Family Residential,214 Chapel Rd,Stanley,VA,22851,309900,3,1,Stanley,1961,13503,1904,1,158,,Active,,,https://www.redfin.com/VA/Stanley/214-Chapel-Rd-22851/home/103987663,BRIGHT MLS,VAPA2006230,N,Y,38.575488,-78.4914957
MLS Listing,,Single Family Residential,333 Honeyville Ave,Stanley,VA,22851,329900,3,2,Stanley,1596,36460,1923,1,207,,Active,,,https://www.redfin.com/VA/Stanley/333-Honeyville-Ave-22851/home/106229972,BRIGHT MLS,VAPA2006196,N,Y,38.5732282,-78.506696
MLS Listing,,Single Family Residential,8635 North Valley Pike,Rockingham,VA,22802,420000,3,1,Rockingham,1513,197109,1950,2,278,,Active,,,https://www.redfin.com/VA/Rockingham/8635-N-Valley-Pike-22802/home/68240453,BRIGHT MLS,VARO2002922,N,Y,38.5402058,-78.7682478
MLS Listing,,Single Family Residential,11193 Indian Trail Rd,Rockingham,VA,22802,699000,6,3.5,Rockingham,4540,250470,1962,2,154,,Active,,,https://www.redfin.com/VA/Rockingham/11193-Indian-Trail-Rd-22802/home/68265944,BRIGHT MLS,VARO2002918,N,Y,38.5374051,-78.7517453
